,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
13845,Round,1.10 ct.,D,VVS2,Super Ideal,GIA,61.6 %,58 %,Excellent,Excellent,Excellent,6.59x6.62x4.06 mm,1.00,n/a,None,None,D112976661,"$11,849"
13846,Round,1.29 ct.,E,VS1,Super Ideal,GIA,60.7 %,57 %,Excellent,Excellent,Excellent,7.01x7.03x4.26 mm,1.00,Medium - Sl. Thick,None,Faint,D113837932,"$11,849"
13847,Round,1.70 ct.,I,SI1,Super Ideal,GIA,63.2 %,57 %,Excellent,Excellent,Excellent,7.55x7.6x4.79 mm,1.01,Medium - Sl. Thick,None,None,D113480327,"$11,852"
13848,Round,1.70 ct.,H,SI1,Super Ideal,GIA,63.0 %,57 %,Excellent,Excellent,Excellent,7.59x7.63x4.8 mm,1.01,n/a,None,None,D112889370,"$11,853"
13849,Round,1.51 ct.,F,SI1,Super Ideal,GIA,61.5 %,58 %,Excellent,Excellent,Excellent,7.35x7.3x4.51 mm,1.01,n/a,n/a,None,D14334133,"$11,864"
13850,Round,1.53 ct.,G,SI1,Super Ideal,GIA,60.4 %,59 %,Excellent,Excellent,Excellent,7.52x7.5x4.53 mm,1.00,Sl. Thick,None,None,D113483100,"$11,867"
13851,Round,1.00 ct.,D,IF,Super Ideal,GIA,61.6 %,59 %,Excellent,Excellent,Excellent,6.45x6.4x3.96 mm,1.01,Sl. Thick,n/a,Medium,D113264131,"$11,869"
13852,Round,1.51 ct.,G,SI1,Ideal,GIA,59.9 %,61 %,Excellent,Excellent,Excellent,7.43x7.4x4.45 mm,1.00,n/a,None,None,D113726632,"$11,874"
13853,Round,1.32 ct.,G,VVS1,Ideal,GIA,61.3 %,61 %,Excellent,Excellent,Excellent,7.02x7.06x4.32 mm,1.01,n/a,None,None,D112315552,"$11,876"
13854,Round,1.01 ct.,E,VVS1,Super Ideal,GIA,62.5 %,59 %,Excellent,Excellent,Excellent,6.38x6.4x4 mm,1.00,Medium - Sl. Thick,None,None,D113573640,"$11,876"
13855,Round,1.03 ct.,D,IF,Super Ideal,GIA,61.0 %,59 %,Excellent,Excellent,Excellent,6.46x6.48x3.95 mm,1.00,Sl. Thick,None,Medium,D113787876,"$11,878"
13856,Round,1.62 ct.,I,VVS1,Super Ideal,GIA,61.8 %,58 %,Excellent,Excellent,Excellent,7.49 x 7.53 x 4.64 mm,1.01,n/a,None,None,D113690602,"$11,879"
13857,Round,1.50 ct.,E,SI1,Super Ideal,GIA,62.5 %,55 %,Excellent,Excellent,Excellent,7.27x7.32x4.56 mm,1.01,n/a,None,Medium,D113036390,"$11,890"
13858,Round,1.32 ct.,E,VVS2,Super Ideal,GIA,62.7 %,58 %,Excellent,Excellent,Excellent,6.95 x 7.00 x 4.38 mm,1.01,n/a,None,Faint,D112763893,"$11,893"
13859,Round,2.03 ct.,J,SI2,Super Ideal,GIA,62.8 %,57 %,Excellent,Excellent,Excellent,8.09x8.02x5.06 mm,1.01,n/a,None,None,D113445337,"$11,894"
13860,Round,1.50 ct.,G,VS2,Super Ideal,GIA,62.6 %,56 %,Excellent,Excellent,Excellent,7.26x7.29x4.56 mm,1.00,n/a,None,Medium,D113119037,"$11,895"
13861,Round,1.31 ct.,E,VVS2,Super Ideal,GIA,62.1 %,55 %,Excellent,Excellent,Excellent,6.99 x 7.04 x 4.36 mm,1.01,n/a,None,Faint,D113684753,"$11,897"
13862,Round,1.01 ct.,E,FL,Super Ideal,GIA,61.4 %,59 %,Excellent,Excellent,Excellent,6.45 x 6.48 x 3.97 mm,1.00,n/a,None,None,D113477564,"$11,900"
13863,Round,2.00 ct.,K,SI1,Super Ideal,GIA,63.5 %,57 %,Excellent,Excellent,Excellent,7.93x7.98x5.05 mm,1.01,Medium - Sl. Thick,None,None,D113704694,"$11,900"
13864,Round,1.81 ct.,J,VVS1,Super Ideal,GIA,63.2 %,58 %,Excellent,Excellent,Excellent,7.70 x 7.76 x 4.89 mm,1.01,n/a,None,Medium,D112243616,"$11,909"
13865,Round,1.00 ct.,D,VVS1,Ideal,GIA,62.3 %,60 %,Very Good,Excellent,Very Good,6.34x6.38x3.97 mm,1.01,Medium - Sl. Thick,None,Faint,D13255093,"$11,912"
13866,Round,1.50 ct.,I,VVS2,Super Ideal,GIA,60.7 %,59 %,Excellent,Excellent,Excellent,7.35x7.38x4.47 mm,1.00,Medium - Sl. Thick,None,None,D113648118,"$11,922"
13867,Round,1.50 ct.,I,VVS2,Super Ideal,GIA,62.6 %,58 %,Excellent,Excellent,Excellent,7.25x7.27x4.54 mm,1.00,Sl. Thick,None,None,D113651835,"$11,922"
13868,Round,1.50 ct.,I,VVS2,Ideal,GIA,61.2 %,62 %,Excellent,Excellent,Excellent,7.32x7.36x4.49 mm,1.01,Sl. Thick,None,None,D113682831,"$11,922"
13869,Round,1.20 ct.,F,VVS1,Super Ideal,GIA,62.2 %,57 %,Excellent,Excellent,Excellent,6.75x6.78x4.21 mm,1.00,Medium - Sl. Thick,None,None,D112533097,"$11,925"
