,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
112,Round,0.30 ct.,I,VS2,Super Ideal,GIA,62.6 %,56 %,Excellent,Excellent,Excellent,4.26x4.29x2.68 mm,1.01,Thin - Sl. Thick,None,None,D113840612,$644
113,Round,0.43 ct.,I,SI1,Good,GIA,58.7 %,64 %,Very Good,Very Good,Good,4.92x4.96x2.9 mm,1.01,n/a,None,Faint,D112885725,$646
114,Round,0.31 ct.,I,VVS2,Super Ideal,GIA,61.1 %,56 %,Excellent,Excellent,Excellent,4.40x4.42x2.69 mm,1.00,Medium - Sl. Thick,None,None,D113595487,$646
115,Round,0.30 ct.,H,VS1,Super Ideal,GIA,62.4 %,59 %,Excellent,Very Good,Excellent,4.25x4.28x2.66 mm,1.01,Medium - Sl. Thick,None,Medium,D113840473,$646
116,Round,0.30 ct.,D,SI1,Super Ideal,GIA,61.7 %,57 %,Excellent,Excellent,Excellent,4.31x4.33x2.67 mm,1.00,n/a,None,Faint,D112654745,$647
117,Round,0.41 ct.,J,SI1,Super Ideal,GIA,62.7 %,57 %,Excellent,Excellent,Excellent,4.74x4.76x2.98 mm,1.00,Medium - Sl. Thick,None,Faint,D113588902,$647
118,Round,0.30 ct.,F,VS2,Excellent,GIA,64.0 %,56 %,Excellent,Good,Very Good,4.19x4.23x2.69 mm,1.01,Medium - Thick,None,None,D113840543,$647
119,Round,0.31 ct.,G,VS2,Super Ideal,GIA,62.0 %,55 %,Excellent,Excellent,Excellent,4.39x4.4x2.72 mm,1.00,n/a,n/a,Medium,D113232446,$649
120,Round,0.30 ct.,E,SI1,Super Ideal,GIA,60.6 %,59 %,Excellent,Excellent,Excellent,4.30x4.33x2.61 mm,1.01,Medium - Sl. Thick,n/a,None,D113655211,$649
121,Round,0.32 ct.,G,VVS2,Super Ideal,GIA,62.0 %,56 %,Excellent,Excellent,Excellent,4.41x4.39x2.73 mm,1.00,n/a,None,Faint,D112180453,$650
122,Round,0.26 ct.,D,VVS2,Super Ideal,GIA,62.5 %,57 %,Excellent,Excellent,Excellent,4.06x4.09x2.55 mm,1.01,n/a,None,Medium,D112883397,$650
123,Round,0.30 ct.,F,VVS1,Ideal,GIA,59.5 %,60 %,Excellent,Very Good,Excellent,4.34 x 4.38 x 2.59 mm,1.01,n/a,None,Medium,D113129039,$650
124,Round,0.40 ct.,J,SI1,Excellent,GIA,63.4 %,57 %,Very Good,Very Good,Very Good,4.69x4.67x2.97 mm,1.00,Sl. Thick - Thick,None,Faint,D113262601,$650
125,Round,0.40 ct.,J,SI2,Super Ideal,GIA,62.3 %,58 %,Excellent,Excellent,Excellent,4.72x4.7x2.94 mm,1.00,n/a,n/a,None,D113335015,$650
126,Round,0.31 ct.,E,VS1,Ideal,GIA,60.4 %,61 %,Excellent,Excellent,Excellent,4.38 x 4.39 x 2.65 mm,1.00,n/a,None,Faint,D113471347,$650
127,Round,0.31 ct.,E,VS2,Super Ideal,GIA,62.1 %,58 %,Excellent,Excellent,Excellent,4.34x4.36x2.7 mm,1.00,n/a,None,Faint,D113541644,$650
128,Round,0.32 ct.,G,VS2,Super Ideal,GIA,62.3 %,59 %,Excellent,Excellent,Excellent,4.39x4.41x2.74 mm,1.00,n/a,None,None,D113588159,$650
129,Round,0.33 ct.,I,VVS1,Super Ideal,GIA,62.1 %,58 %,Excellent,Excellent,Excellent,4.45x4.48x2.77 mm,1.01,Thin - Sl. Thick,None,None,D113616165,$650
130,Round,0.30 ct.,D,VS1,Super Ideal,GIA,62.6 %,58 %,Excellent,Excellent,Excellent,4.26 x 4.28 x 2.67 mm,1.00,n/a,None,Faint,D113669868,$650
131,Round,0.30 ct.,F,VS1,Excellent,GIA,64.5 %,56 %,Excellent,Very Good,Very Good,4.16x4.21x2.7 mm,1.01,n/a,n/a,None,D113702588,$650
132,Round,0.30 ct.,J,IF,Super Ideal,GIA,59.6 %,60 %,Excellent,Excellent,Excellent,4.36x4.39x2.61 mm,1.01,n/a,n/a,None,D113844431,$650
133,Round,0.40 ct.,I,SI2,Ideal,GIA,59.4 %,61 %,Excellent,Excellent,Excellent,4.82x4.83x2.87 mm,1.00,n/a,None,None,D112152484,$651
134,Round,0.30 ct.,G,VS2,Good,GIA,57.9 %,62 %,Excellent,Very Good,Very Good,4.4x4.42x2.56 mm,1.00,n/a,None,Medium,D112737487,$651
135,Round,0.31 ct.,G,VVS1,Super Ideal,GIA,61.3 %,60 %,Excellent,Excellent,Excellent,4.35x4.37x2.67 mm,1.00,n/a,None,Strong,D113098105,$651
136,Round,0.30 ct.,D,VS2,Super Ideal,GIA,62.6 %,58 %,Very Good,Excellent,Excellent,4.27x4.25x2.67 mm,1.00,Sl. Thick,n/a,None,D113412924,$651
137,Round,0.40 ct.,J,SI2,Ideal,GIA,62.0 %,60 %,Excellent,Very Good,Very Good,4.7x4.73x2.92 mm,1.01,Medium - Thick,None,None,D113457672,$651
138,Round,0.33 ct.,G,VS2,Ideal,GIA,60.3 %,61 %,Excellent,Excellent,Excellent,4.50x4.53x2.72 mm,1.01,n/a,None,None,D113516830,$651
139,Round,0.30 ct.,G,VVS2,Super Ideal,GIA,61.0 %,58 %,Excellent,Excellent,Excellent,4.34x4.32x2.65 mm,1.00,Thin - Medium,n/a,None,D113614423,$651
140,Round,0.37 ct.,J,VVS2,Super Ideal,GIA,61.9 %,57 %,Very Good,Excellent,Excellent,4.62x2.85x4.59 mm,1.62,n/a,n/a,None,D113644896,$651
141,Round,0.30 ct.,E,VS2,Ideal,GIA,58.5 %,59 %,Excellent,Excellent,Very Good,4.38x4.40x2.57 mm,1.00,Medium - Sl. Thick,n/a,None,D113709955,$651
