Carat Weight,Color,Clarity,Cut,Depth %,Table %,Polish,Symmetry,Cut Grade,Length to Width,Culet,Fluorescence,Price
0.3,2,7,1,59.6,59.0,1,2,1,1.01,1,0,643
0.3,2,7,1,61.6,57.0,1,1,1,1.0,0,2,643
0.3,2,6,1,62.8,56.0,2,1,1,1.0,1,0,643
0.4,8,6,2,63.3,56.0,1,2,2,1.01,1,1,643
0.37,6,5,4,64.7,58.0,2,2,3,1.01,1,3,643
0.3,2,7,1,61.6,57.0,1,1,1,1.0,0,2,643
0.37,6,5,4,64.7,58.0,2,2,3,1.01,1,3,643
0.4,8,6,2,63.3,56.0,1,2,2,1.01,1,1,643
0.3,2,8,1,60.3,60.0,1,1,1,1.01,1,1,644
0.26,2,4,2,59.4,60.0,1,1,1,1.0,1,1,644
0.36,6,4,4,64.2,57.0,2,2,2,1.01,1,3,644
0.35,8,3,1,61.8,60.0,1,1,1,1.01,1,1,644
0.23,1,3,1,62.7,56.0,1,1,1,1.01,1,0,644
0.3,1,6,3,64.2,57.0,1,1,2,1.0,1,0,644
0.3,1,6,2,60.0,61.0,1,1,2,1.01,1,0,644
0.3,4,6,1,59.5,59.0,1,2,1,1.01,1,0,644
0.3,3,7,1,62.9,56.0,1,1,1,1.0,1,0,644
0.31,1,5,3,64.3,58.0,1,2,2,1.01,0,3,644
0.3,2,8,1,60.3,60.0,1,1,1,1.01,1,1,644
0.3,6,6,1,62.6,56.0,1,1,1,1.01,1,0,644
0.3,6,6,1,62.6,56.0,1,1,1,1.01,1,0,644
0.42,8,2,1,62.0,59.0,1,1,1,1.6,0,1,644
0.3,2,8,2,60.6,60.0,1,2,1,1.0,1,0,644
0.36,6,4,4,64.2,57.0,2,2,2,1.01,1,3,644
0.33,4,6,1,59.5,59.0,1,1,1,1.0,1,3,644
0.3,6,5,3,63.3,61.0,1,2,2,1.0,1,0,644
0.31,1,5,3,64.3,58.0,1,2,2,1.01,0,3,644
0.3,4,6,1,59.5,59.0,1,2,1,1.01,1,0,644
0.3,4,8,2,59.0,61.0,1,1,1,1.01,1,0,644
0.3,1,6,2,60.0,61.0,1,1,2,1.01,1,0,644
0.3,1,6,3,63.7,59.0,2,2,2,1.0,1,0,644
0.3,1,6,3,64.2,57.0,1,1,2,1.0,1,0,644
0.3,1,6,2,61.3,60.0,1,2,2,1.01,1,0,644
0.23,1,3,1,62.7,56.0,1,1,1,1.01,1,0,644
0.3,2,8,1,62.7,58.0,1,1,1,1.01,1,0,644
0.35,8,3,1,61.8,60.0,1,1,1,1.01,1,1,644
0.3,3,7,1,62.9,56.0,1,1,1,1.0,1,0,644
0.31,6,4,1,61.1,56.0,1,1,1,1.0,1,0,646
0.3,5,5,1,62.4,59.0,1,2,1,1.01,1,2,646
0.34,3,7,1,62.2,56.0,1,1,1,1.0,1,0,646
0.43,6,7,5,58.7,64.0,2,2,3,1.01,1,1,646
