,Shape,Price,Carat,Color,Clarity,Polish,Symmetry,Fluorescence,Depth,Table,L/W,Price/Ct,Culet,Stock No.,Delivery Date,Cut
1722,Princess,$905,0.45,D,VS1,Excellent,Very Good,None,70.6,73.0,1.04,"$2,011",None,LD12202100,Apr 21,Very Good
1723,Princess,$905,0.45,D,VS1,Excellent,Very Good,None,74.3,71.0,1.05,"$2,011",None,LD12313840,Apr 21,Very Good
1724,Princess,$905,0.45,D,VS1,Very Good,Very Good,Faint,74.6,73.0,1.05,"$2,011",None,LD12313841,Apr 21,Very Good
1725,Princess,$905,0.45,D,VS1,Excellent,Very Good,None,73.9,78.0,1.01,"$2,011",None,LD12701196,Apr 21,Good
1726,Princess,$905,0.60,J,VS2,Very Good,Very Good,None,78.9,71.0,1.05,"$1,508",None,LD13334435,Apr 21,Good
1727,Princess,$908,0.56,I,SI1,Very Good,Good,None,72.3,78.0,1.04,"$1,621",None,LD12588026,Apr 21,Good
1728,Princess,$914,0.50,D,SI1,Excellent,Very Good,Medium,74.4,71.0,1.04,"$1,828",None,LD13869483,Apr 21,Very Good
1729,Princess,$922,0.51,F,SI1,Very Good,Very Good,None,71.2,75.0,1.03,"$1,808",None,LD13494052,Apr 21,Very Good
1730,Princess,$922,0.51,F,SI1,Very Good,Very Good,None,67.7,75.0,1.04,"$1,808",None,LD15156288,Apr 21,Very Good
1731,Princess,$925,0.46,F,VVS1,Very Good,Very Good,None,70.7,77.0,1.01,"$2,011",None,LD14010138,Apr 21,Good
1732,Cushion,$929,0.72,K,VS2,Excellent,Very Good,None,70.0,62.0,1.02,"$1,290",None,LD15441182,Apr 21,Good
1733,Princess,$930,0.50,D,SI1,Excellent,Very Good,Medium,74.4,75.0,1.00,"$1,860",None,LD13230587,Apr 21,Very Good
1734,Princess,$930,0.50,E,SI1,Excellent,Good,Faint,74.8,73.0,1.06,"$1,860",None,LD13508686,Apr 21,Very Good
1735,Princess,$930,0.50,E,SI1,Excellent,Very Good,None,74.5,70.0,1.00,"$1,860",None,LD15242231,Apr 21,Very Good
1736,Princess,$930,0.50,I,VS2,Very Good,Very Good,None,72.6,73.0,1.01,"$1,860",None,LD15634298,Apr 21,Very Good
1737,Princess,$932,0.51,D,VS2,Very Good,Good,Strong,75.7,77.0,1.01,"$1,827",None,LD11667379,Apr 21,Good
1738,Princess,$945,0.50,E,SI1,Excellent,Very Good,None,73.8,67.0,1.02,"$1,890",None,LD13818776,Apr 21,Very Good
1739,Princess,$945,0.50,E,SI1,Excellent,Very Good,None,75.8,71.0,1.03,"$1,890",None,LD13818778,Apr 21,Good
1740,Princess,$948,0.51,D,SI1,Very Good,Good,Medium,76.9,78.0,1.05,"$1,859",None,LD12078553,Apr 21,Good
1741,Cushion,$961,0.72,K,VS2,Excellent,Good,Faint,66.0,65.0,1.02,"$1,335",None,LD15441179,Apr 21,Very Good
1742,Princess,$962,0.50,H,VS1,Very Good,Good,None,75.6,77.0,1.05,"$1,924",None,LD13958249,Apr 21,Good
1743,Princess,$964,0.51,E,SI1,Excellent,Very Good,None,74.3,73.0,1.05,"$1,890",None,LD13818786,Apr 21,Very Good
1744,Princess,$965,0.56,J,VVS1,Excellent,Excellent,None,72.5,72.0,1.04,"$1,723",None,LD15634339,Apr 21,Very Good
1745,Princess,$977,0.54,F,SI1,Excellent,Very Good,Faint,74.4,69.0,1.01,"$1,809",None,LD13839552,Apr 21,Very Good
1746,Princess,$977,0.54,F,SI1,Excellent,Very Good,None,71.3,76.0,1.01,"$1,809",None,LD13865506,Apr 21,Very Good
1747,Princess,$983,0.52,E,SI1,Very Good,Very Good,None,76.5,77.0,1.04,"$1,890",None,LD13711729,Apr 21,Good
1748,Princess,$977,0.50,H,VVS1,Excellent,Very Good,Faint,74.7,71.0,1.04,"$1,954",None,LD15470807,Apr 26,Very Good
1749,Radiant,$902,0.52,H,VS1,Very Good,Very Good,None,67.9,69.0,1.16,"$1,735",None,LD15322712,Apr 27,Very Good
1750,Cushion,$911,0.71,K,SI2,Excellent,Good,None,72.8,56.0,1.19,"$1,283",None,LD14722060,Apr 27,Good
1751,Radiant,$916,0.50,J,IF,Excellent,Very Good,Faint Blue,64.9,67.0,1.26,"$1,832",Pointed,LD15544842,Apr 27,Very Good
1752,Princess,$919,0.52,E,SI2,Excellent,Very Good,None,70.6,73.0,1.01,"$1,767",None,LD14878943,Apr 27,Very Good
1753,Radiant,$927,0.59,J,VS1,Very Good,Very Good,Faint Blue,69.4,64.0,1.43,"$1,571",Pointed,LD15296873,Apr 27,Very Good
1754,Radiant,$933,0.50,H,SI1,Excellent,Very Good,None,62.4,67.0,1.28,"$1,866",Pointed,LD15634226,Apr 27,Very Good
1755,Radiant,$934,0.54,D,SI2,Very Good,Very Good,None,70.5,69.0,1.26,"$1,730",Pointed,LD15028237,Apr 27,Very Good
1756,Princess,$944,0.52,J,VVS2,Excellent,Excellent,None,73.4,68.0,1.05,"$1,815",None,LD13599837,Apr 27,Very Good
1757,Radiant,$944,0.52,D,VS2,Excellent,Good,Medium Blue,69.4,69.0,1.10,"$1,815",None,LD15322716,Apr 27,Very Good
1758,Cushion,$948,0.51,F,VS1,Excellent,Very Good,Strong,68.9,60.0,1.05,"$1,859",None,LD15460083,Apr 27,Very Good
1759,Radiant,$949,0.58,H,VVS1,Excellent,Very Good,Medium Blue,64.5,65.0,1.17,"$1,636",None,LD15542980,Apr 27,Very Good
1760,Radiant,$958,0.51,F,VVS1,Excellent,Very Good,None,71.9,69.0,1.00,"$1,878",None,LD15322714,Apr 27,Very Good
1761,Radiant,$958,0.51,I,VVS2,Excellent,Very Good,None,63.9,71.0,1.05,"$1,878",None,LD15516550,Apr 27,Very Good
1762,Radiant,$963,0.50,I,VVS1,Excellent,Very Good,None,67.3,67.0,1.31,"$1,926",Pointed,LD15735805,Apr 27,Very Good
1763,Cushion,$964,0.52,G,VS2,Excellent,Very Good,Faint,69.0,63.0,1.01,"$1,854",None,LD15339397,Apr 27,Very Good
1764,Radiant,$970,0.51,E,VVS2,Excellent,Very Good,Faint Blue,75.9,68.0,1.09,"$1,902",None,LD15322702,Apr 27,Good
1765,Radiant,$971,0.51,H,VS1,Good,Good,None,70.1,67.0,1.29,"$1,904",None,LD14661569,Apr 27,Very Good
1766,Radiant,$971,0.52,F,VS1,Very Good,Very Good,Strong Blue,66.8,68.0,1.11,"$1,867",None,LD15322717,Apr 27,Very Good
